debate_id,task_id,task_name,difficulty,agent_id,model,role,round_num,is_revision,pass_rate,tests_passed,tests_total,status,generation_time,code_chars,was_truncated,is_historical_best_reuse
72eacd34,binary_search,Binary Search,easy,agent_1_qwen2.5-coder,qwen2.5-coder:7b,general,1,False,1.0,8,8,passed,12.33,339,False,False
72eacd34,binary_search,Binary Search,easy,agent_2_deepseek-coder,deepseek-coder:6.7b,general,1,False,1.0,8,8,passed,8.48,320,False,False
72eacd34,binary_search,Binary Search,easy,agent_3_codellama,codellama:7b-instruct,general,1,False,1.0,8,8,passed,7.56,473,False,False
98845733,caesar_cipher,Caesar Cipher,easy,agent_1_qwen2.5-coder,qwen2.5-coder:7b,general,1,False,1.0,8,8,passed,8.87,766,False,False
98845733,caesar_cipher,Caesar Cipher,easy,agent_2_deepseek-coder,deepseek-coder:6.7b,general,1,False,0.0,0,8,test_failed,5.64,670,False,False
98845733,caesar_cipher,Caesar Cipher,easy,agent_3_codellama,codellama:7b-instruct,general,1,False,1.0,8,8,passed,13.06,1966,False,False
3142d513,count_vowels,Count Vowels,easy,agent_1_qwen2.5-coder,qwen2.5-coder:7b,general,1,False,1.0,7,7,passed,2.75,129,False,False
3142d513,count_vowels,Count Vowels,easy,agent_2_deepseek-coder,deepseek-coder:6.7b,general,1,False,1.0,7,7,passed,7.86,298,False,False
3142d513,count_vowels,Count Vowels,easy,agent_3_codellama,codellama:7b-instruct,general,1,False,1.0,7,7,passed,3.33,594,False,False
f2013170,fibonacci,Fibonacci Number,easy,agent_1_qwen2.5-coder,qwen2.5-coder:7b,general,1,False,1.0,6,6,passed,7.4,563,False,False
f2013170,fibonacci,Fibonacci Number,easy,agent_2_deepseek-coder,deepseek-coder:6.7b,general,1,False,1.0,6,6,passed,4.45,275,False,False
f2013170,fibonacci,Fibonacci Number,easy,agent_3_codellama,codellama:7b-instruct,general,1,False,1.0,6,6,passed,9.29,128,False,False
0c0db9a4,fizzbuzz,FizzBuzz,easy,agent_1_qwen2.5-coder,qwen2.5-coder:7b,general,1,False,1.0,7,7,passed,2.46,340,False,False
