debate_id,task_id,task_name,difficulty,mode,agent_models,num_agents,final_pass_rate,tests_passed,tests_total,pass_at_1,pass_at_3,improvement_over_best_initial,improvement_over_avg_initial,total_rounds,consensus_reached,consensus_ratio,rounds_to_consensus,total_critiques,total_bugs_found,total_bugs_fixed,bug_fix_rate,total_improvements_suggested,avg_correctness_rating,avg_efficiency_rating,avg_readability_rating,initial_avg_pylint,final_pylint,initial_avg_complexity,final_complexity,duration_seconds,avg_round_duration,total_llm_time,total_execution_time,all_solutions_count,passing_solutions_count,most_active_agent,most_successful_agent,most_bugs_found_by,status,winning_agent,best_round,best_round_pass_rate,peak_after_debate
72eacd34,binary_search,Binary Search,easy,debate,"qwen2.5-coder:7b,deepseek-coder:6.7b,codellama:7b-instruct",3,1.0,8,8,1.0,1.0,0.0,0.0,1,True,1.0,0,0,0,0,0.0,0,0.0,0.0,0.0,8.33,7.5,4.0,4.0,17.684786,17.68,28.38,2.08,3,3,agent_1_qwen2.5-coder,agent_1_qwen2.5-coder,,early_stop,agent_1_qwen2.5-coder,1,1.0,False
98845733,caesar_cipher,Caesar Cipher,easy,debate,"qwen2.5-coder:7b,deepseek-coder:6.7b,codellama:7b-instruct",3,1.0,8,8,0.6667,1.0,0.0,0.5,1,True,1.0,0,0,0,0,0.0,0,0.0,0.0,0.0,8.5,9.5,4.0,4.0,17.673987,17.67,27.57,1.44,3,2,agent_1_qwen2.5-coder,agent_1_qwen2.5-coder,,early_stop,agent_1_qwen2.5-coder,1,1.0,False
3142d513,count_vowels,Count Vowels,easy,debate,"qwen2.5-coder:7b,deepseek-coder:6.7b,codellama:7b-instruct",3,1.0,7,7,1.0,1.0,0.0,0.0,1,True,1.0,0,0,0,0,0.0,0,0.0,0.0,0.0,9.0,9.5,3.0,3.0,11.631899,11.63,13.94,1.29,3,3,agent_1_qwen2.5-coder,agent_1_qwen2.5-coder,,early_stop,agent_1_qwen2.5-coder,1,1.0,False
f2013170,fibonacci,Fibonacci Number,easy,debate,"qwen2.5-coder:7b,deepseek-coder:6.7b,codellama:7b-instruct",3,1.0,6,6,1.0,1.0,0.0,0.0,1,True,1.0,0,0,0,0,0.0,0,0.0,0.0,0.0,8.83,9.0,3.67,4.0,13.229379,13.23,21.14,1.21,3,3,agent_1_qwen2.5-coder,agent_1_qwen2.5-coder,,early_stop,agent_1_qwen2.5-coder,1,1.0,False
0c0db9a4,fizzbuzz,FizzBuzz,easy,debate,"qwen2.5-coder:7b,deepseek-coder:6.7b,codellama:7b-instruct",3,1.0,7,7,1.0,1.0,0.0,0.0,1,True,1.0,0,0,0,0,0.0,0,0.0,0.0,0.0,9.17,9.5,6.67,6.0,13.920501,13.92,17.09,1.21,3,3,agent_1_qwen2.5-coder,agent_1_qwen2.5-coder,,early_stop,agent_1_qwen2.5-coder,1,1.0,False
632555e6,flatten_list,Flatten Nested List,easy,debate,"qwen2.5-coder:7b,deepseek-coder:6.7b,codellama:7b-instruct",3,1.0,7,7,1.0,1.0,0.0,0.0,1,True,1.0,0,0,0,0,0.0,0,0.0,0.0,0.0,8.83,8.5,2.0,1.0,11.99161,11.99,16.31,1.32,3,3,agent_1_qwen2.5-coder,agent_1_qwen2.5-coder,,early_stop,agent_1_qwen2.5-coder,1,1.0,False
3770d67a,max_subarray,Maximum Subarray Sum,easy,debate,"qwen2.5-coder:7b,deepseek-coder:6.7b,codellama:7b-instruct",3,1.0,7,7,1.0,1.0,0.0,0.0,1,True,1.0,0,0,0,0,0.0,0,0.0,0.0,0.0,8.0,7.5,4.0,4.0,14.287135,14.29,22.67,1.3,3,3,agent_1_qwen2.5-coder,agent_1_qwen2.5-coder,,early_stop,agent_1_qwen2.5-coder,1,1.0,False
0d8a46f0,merge_sorted_arrays,Merge Two Sorted Arrays,easy,debate,"qwen2.5-coder:7b,deepseek-coder:6.7b,codellama:7b-instruct",3,1.0,7,7,1.0,1.0,0.0,0.0,1,True,1.0,0,0,0,0,0.0,0,0.0,0.0,0.0,7.17,7.5,5.33,6.0,14.419969,14.42,20.14,1.22,3,3,agent_1_qwen2.5-coder,agent_1_qwen2.5-coder,,early_stop,agent_1_qwen2.5-coder,1,1.0,False
09369858,palindrome,Valid Palindrome,easy,debate,"qwen2.5-coder:7b,deepseek-coder:6.7b,codellama:7b-instruct",3,1.0,7,7,0.6667,1.0,0.0,0.05,1,True,1.0,0,0,0,0,0.0,0,0.0,0.0,0.0,9.17,9.0,2.33,3.0,12.321286,12.32,14.36,1.23,3,2,agent_1_qwen2.5-coder,agent_1_qwen2.5-coder,,early_stop,agent_1_qwen2.5-coder,1,1.0,False
378e4ebb,power_of_two,Power of Two,easy,debate,"qwen2.5-coder:7b,deepseek-coder:6.7b,codellama:7b-instruct",3,1.0,8,8,1.0,1.0,0.0,0.0,1,True,1.0,0,0,0,0,0.0,0,0.0,0.0,0.0,9.0,9.5,3.33,3.0,11.988065,11.99,14.27,1.21,3,3,agent_1_qwen2.5-coder,agent_1_qwen2.5-coder,,early_stop,agent_1_qwen2.5-coder,1,1.0,False
